NODE,LABEL,VALUE
42591,1,0.00257344
42668,1,0.00319119
42596,1,0.0038342
42666,1,0.00432299
42665,1,0.004325
43027,1,0.00477553
42680,1,0.00533859
42682,1,0.00571316
42679,1,0.00571316
42891,1,0.00603131
42578,1,0.00653901
42677,1,0.00678254
42674,1,0.00678613
42879,1,0.00701644
42660,1,0.00746722
42664,1,0.00720156
42639,1,0.00761307
42641,1,0.00770482
42638,1,0.00770482
43335,1,0.00780956
42628,1,0.00818803
42630,1,0.00784014
42627,1,0.00820712
42635,1,0.00818262
42633,1,0.00818262
42746,1,0.00812461
42743,1,0.00843695
42864,1,0.00800673
42861,1,0.00832298
43294,1,0.00815499
42397,1,-0.00107478
42396,1,-0.00106341
42715,1,-0.00097271
42714,1,-0.00097512
43368,1,-0.00093408
43350,1,-0.00091906
43354,1,-0.00096583
43269,1,-0.00095024
43274,1,-0.00096196
43271,1,-0.00095517
43411,1,-0.00097109
42961,1,-0.00096418
42963,1,-0.00096632
42960,1,-0.00096632
42968,1,-0.00096632
42536,1,-0.00096169
42538,1,-0.00095263
42535,1,-0.00095041
43339,1,-0.00094152
42541,1,-0.00093477
42546,1,-0.00091488
42543,1,-0.00091709
42858,1,-0.00089941
42856,1,-0.0008972
42995,1,-0.00086865
42554,1,-0.00086865
42556,1,-0.00084446
42553,1,-0.00084034
42750,1,-0.00080752
42547,1,-0.00080533
42552,1,-0.00077307
42549,1,-0.0007671
43314,1,-0.00073243
43072,1,-0.00073026
43074,1,-0.0006943
42751,1,-0.00069085
42756,1,-0.00065437
42753,1,-0.00064897
43265,1,-0.0005926
42757,1,-0.00059473
42759,1,-0.00057904
42584,1,-0.00057821
42871,1,-0.00051934
42760,1,-0.00051878
42765,1,-0.00047658
42762,1,-0.00047412
42893,1,-0.00043271
42601,1,-0.00043047
42771,1,-0.00038725
42769,1,-0.00038522
42896,1,-0.00035465
42772,1,-0.00035075
42775,1,-0.00031058
42687,1,-0.00031058
42689,1,-0.00027282
42616,1,-0.00026937
42781,1,-0.00023145
42607,1,-0.00023345
42612,1,-0.00019554
42710,3,-0.00636967
42606,3,-0.00349304
42695,3,-0.00061668
42694,3,0.00226115
42780,3,0.00525051
42690,3,0.00813229
42692,3,0.01084015
42591,3,0.01084015
42668,3,0.01385582
42596,3,0.01664766
42666,3,0.01936419
42665,3,0.01936419
43027,3,0.02209081
42680,3,0.02468363
42682,3,0.02731313
42679,3,0.02731595
42891,3,0.02984868
42578,3,0.03234474
42677,3,0.03478337
42674,3,0.03478695
42879,3,0.03732886
42660,3,0.03973117
42664,3,0.03980474
42639,3,0.04209885
42641,3,0.04434157
42638,3,0.04434614
43335,3,0.04687661
42628,3,0.04917859
42630,3,0.04923405
42627,3,0.05153862
42635,3,0.05390936
42633,3,0.05390385
42746,3,0.05627426
42743,3,0.05847306
42864,3,0.05853879
42861,3,0.06085092
43294,3,0.06319955
42397,3,0.0250024
42396,3,0.02468294
42715,3,0.02414636
42714,3,0.02414877
43368,3,0.02371235
43350,3,0.0233928
43354,3,0.0234653
43269,3,0.02314469
43274,3,0.02287455
43271,3,0.02276716
43411,3,0.02276488
42961,3,0.02255012
42963,3,0.02244049
42960,3,0.02244274
42968,3,0.02244274
42536,3,0.02233535
42538,3,0.02222797
42535,3,0.02222575
43339,3,0.02218356
42541,3,0.02207639
42546,3,0.02196811
42543,3,0.02196811
42858,3,0.02199684
42856,3,0.02199463
42995,3,0.02181529
42554,3,0.02181529
42556,3,0.02191425
42553,3,0.02180735
42750,3,0.02166511
42547,3,0.02166729
42552,3,0.02160464
42549,3,0.02150038
43314,3,0.0214072
43072,3,0.02140936
43074,3,0.02135513
42751,3,0.02124888
42756,3,0.02123386
42753,3,0.02112769
43265,3,0.02049477
42757,3,0.02049689
42759,3,0.02142677
42584,3,0.02132011
42871,3,0.02069565
42760,3,0.02059006
42765,3,0.02048655
42762,3,0.02037888
42893,3,0.02033126
42601,3,0.02022591
42771,3,0.019971
42769,3,0.01986848
42896,3,0.02027816
42772,3,0.02017346
42775,3,0.02008285
42687,3,0.02008285
42689,3,0.02000813
42616,3,0.01990313
42781,3,0.01989315
42607,3,0.01989514
42612,3,0.0199131
43816,1,-0.00165011
43697,1,-0.00090527
43801,1,-0.00015531
43800,1,0.00056948
43880,1,0.00128459
43870,1,0.00198985
43874,1,0.00262051
43871,1,0.00261936
44001,1,0.00318832
43768,1,0.00383074
43772,1,0.00432098
43769,1,0.00491948
44143,1,0.00477096
43785,1,0.00533348
43790,1,0.00570752
43787,1,0.00570752
43992,1,0.00602515
43673,1,0.00653234
43779,1,0.00677538
43774,1,0.00677896
43980,1,0.00700876
43763,1,0.00746313
43767,1,0.00718521
43744,1,0.00760442
43746,1,0.00762256
43743,1,0.00762256
44448,1,0.00779515
44193,1,0.00817794
44196,1,0.00783005
43734,1,0.00819129
43736,1,0.00817159
43733,1,0.00817711
