x,Cpi,Cpv,Qi,Qv,y
0.4567901,0.238,0.213,0,-0.887,-0.0158118
0.4708659,0.237,0.212,0,-0.888,-0.0152412
0.4850295,0.236,0.21,0,-0.889,-0.0146635
0.4992733,0.235,0.209,0,-0.889,-0.0140811
0.5135891,0.235,0.209,0,-0.89,-0.0134963
0.5279688,0.234,0.208,0,-0.89,-0.0129114
0.5424038,0.234,0.207,0,-0.89,-0.0123286
0.5568856,0.233,0.207,0,-0.891,-0.01175
0.5714054,0.233,0.206,0,-0.891,-0.0111775
0.5859539,0.233,0.206,0,-0.891,-0.0106131
0.6005219,0.233,0.206,0,-0.891,-0.0100585
0.6150998,0.232,0.205,0,-0.892,-0.0095153
0.6296777,0.232,0.205,0,-0.892,-0.008985
0.6442453,0.232,0.204,0,-0.892,-0.0084691
0.6587922,0.232,0.204,0,-0.892,-0.0079689
0.6733075,0.231,0.203,0,-0.893,-0.0074853
0.6877799,0.231,0.202,0,-0.893,-0.0070194
0.7021977,0.231,0.202,0,-0.893,-0.006572
0.7165489,0.231,0.201,0,-0.894,-0.0061438
0.7308209,0.23,0.2,0,-0.894,-0.0057353
0.7450005,0.23,0.199,0,-0.895,-0.0053469
0.7590742,0.23,0.198,0,-0.895,-0.0049789
0.7730275,0.229,0.197,0,-0.896,-0.0046314
0.7868454,0.229,0.196,0,-0.896,-0.0043044
0.8005122,0.229,0.195,0,-0.897,-0.0039978
0.8140113,0.228,0.194,0,-0.898,-0.0037112
0.827325,0.228,0.193,0,-0.898,-0.0034444
0.8404347,0.228,0.192,0,-0.899,-0.0031969
0.8533205,0.229,0.191,0,-0.899,-0.002968
0.8659609,0.229,0.19,0,-0.9,-0.0027573
0.8783331,0.229,0.189,0,-0.9,-0.0025639
0.8904123,0.23,0.188,0,-0.901,-0.002387
0.9021712,0.231,0.188,0,-0.901,-0.002226
0.9135802,0.233,0.187,0,-0.902,-0.00208
0.9246063,0.235,0.186,0,-0.902,-0.001948
0.9352124,0.238,0.186,0,-0.902,-0.0018293
0.9453566,0.242,0.186,0,-0.902,-0.001723
0.9549902,0.247,0.186,0,-0.902,-0.0016285
0.9640559,0.253,0.187,0,-0.902,-0.0015448
0.9724844,0.262,0.187,0,-0.902,-0.0014716
0.9801884,0.273,0.188,0,-0.901,-0.0014082
0.9870521,0.289,0.189,0,-0.9,-0.0013545
0.9929085,0.312,0.19,0,-0.9,-0.0013107
0.9974774,0.35,0.191,0,-0.9,-0.0012778
1,0.435,0.186,0,-0.902,-0.00126
