ELEMENT,Surface,Cpv
401,P,-22.95668736
402,P,-24.78034944
403,P,-29.28586752
404,P,-14.26747392
405,P,-15.07203072
406,P,-13.89201408
407,P,-14.64293376
408,P,-20.06028288
409,P,-42.31968768
410,P,-49.82888448
411,P,-13.40928
412,P,-13.40928
413,P,-15.66203904
414,P,-15.07203072
415,P,-16.25204736
416,P,-12.71199744
417,P,-38.6187264
418,P,-38.6187264
419,P,-13.89201408
420,P,-12.76563456
421,P,-12.98018304
422,P,-13.89201408
423,P,-13.24836864
424,P,-16.25204736
425,P,-13.24836864
426,P,-18.88026624
427,P,-29.28586752
428,P,-32.02136064
429,P,-35.1323136
430,P,-18.88026624
431,P,-49.82888448
432,P,-12.8729088
433,P,-17.00296704
434,P,-12.8729088
435,P,-12.8729088
436,P,-12.76563456
437,P,-20.06028288
438,P,-17.86116096
439,P,-42.31968768
440,P,-17.00296704
441,P,-32.02136064
442,P,-13.89201408
443,P,-13.24836864
444,P,-38.6187264
445,P,-35.1323136
446,P,-16.25204736
447,P,-18.88026624
448,P,-16.25204736
449,P,-17.86116096
450,P,-17.86116096
451,P,-18.88026624
452,P,-21.40121088
453,P,-22.95668736
454,P,-17.00296704
455,P,-18.88026624
456,P,-20.06028288
457,P,-17.86116096
458,P,-17.00296704
459,P,-18.88026624
460,P,-17.00296704
461,P,-17.86116096
462,P,-18.88026624
463,P,-13.40928
464,P,-13.89201408
465,P,-46.23519744
466,P,-17.00296704
467,P,-16.25204736
468,P,-20.06028288
469,P,-17.00296704
470,P,-16.25204736
471,P,-13.62382848
472,P,-21.40121088
473,P,-12.81927168
474,P,-13.08745728
475,P,-13.40928
476,P,-20.06028288
477,P,-49.82888448
478,P,-52.67165184
479,P,-46.23519744
480,P,-49.82888448
481,P,-17.86116096
482,P,-18.88026624
483,P,-29.28586752
484,P,-29.28586752
485,P,-46.23519744
486,P,-20.06028288
487,P,-13.08745728
488,P,-12.81927168
489,P,-18.88026624
490,P,-32.02136064
491,P,-18.88026624
492,P,-17.86116096
493,P,-20.06028288
494,P,-13.62382848
495,P,-17.86116096
496,P,-17.86116096
497,P,-35.1323136
498,P,-38.6187264
499,P,-12.71199744
500,P,-12.71199744
501,P,-46.23519744
502,P,-13.24836864
503,P,-46.23519744
504,P,-49.82888448
505,P,-16.25204736
506,P,-15.07203072
507,P,-12.71199744
508,P,-12.71199744
509,P,-12.71199744
510,P,-15.66203904
511,P,-16.25204736
512,P,-16.25204736
513,P,-17.00296704
514,P,-14.64293376
515,P,-15.66203904
516,P,-15.07203072
